id,book_name,author,price
169,328067737-8,Selina,2.99
170,323349582-X,Avram,15.99
171,372680484-6,Ludwig,22.99
172,818922655-X,Theodor,19.99
173,985178968-2,Tomi,29.99
174,321972566-X,Parke,4.99
175,367527533-7,Kliment,3.69
176,201510092-X,Cornall,39.99
177,064607976-X,Dorrie,22.99
178,383830251-6,Lawton,45.99
179,550679728-1,Gaby,24.99
180,514469772-0,Elana,19.99
181,992776287-9,Hestia,39.99
182,564894473-X,Wilona,14.99
183,448384865-8,Nessie,1.99
184,648985813-4,Avigdor,49.99
185,996532239-2,Brooks,6.99
186,627922542-9,Jerrine,2.49
187,751316897-0,Perkin,19.99
188,519500008-5,Gizela,12.99
189,861759292-3,Marlie,3.49
190,057940059-X,Maure,3.99
191,775676233-9,Ezequiel,19.99
192,042745242-2,Fredek,2.29
193,629597394-9,Florina,4.99
194,732965383-7,Aurore,22.99
195,022675124-4,Dave,5.49
196,520964888-5,Kristine,59.99
197,047058126-3,Ann,59.99
198,333558739-1,Patsy,149.99
199,927285009-6,Wendye,19.99
200,292909432-X,Gladi,18.99
201,981612286-3,Catlin,39.99
202,176807985-4,Fiorenze,4.99
203,537166120-4,Tybie,29.99
204,679589580-7,Donovan,4.29
205,529306461-4,Aubry,69.99
206,880421009-5,Flossie,99.99
207,419739133-1,Dall,12.99
208,010058819-0,Zea,39.99
209,906310303-4,Alana,129.99
210,027519574-0,Glori,4.49
211,494178566-5,Patric,1.99
212,683471861-3,Harlan,79.99
213,822795153-8,Bernhard,29.99
214,709151040-2,Lindsay,19.99
215,360305402-4,Susie,2.99
216,199350168-1,Jeanine,5.99
217,243245326-3,Inge,12.99
218,931597016-0,Olav,19.99
219,872522424-7,Myrah,49.99
220,682219574-2,Clerc,3.29
221,692780151-0,Stacee,29.99
222,692623699-2,Timmie,89.99
223,335432828-2,Winona,6.49
224,239607517-9,Gabriel,59.99
225,775689803-6,Noel,2.49
226,304411009-2,Kristan,29.99
227,272778365-5,Hortensia,2.79
228,383535079-X,Evangelin,2.99
229,310221804-0,Sukey,79.99
230,421070948-4,Viviyan,2.29
231,418814630-3,Gerrie,5.99
232,537624566-7,Trudy,1.99
233,688687031-9,Millisent,2.99
234,075842579-1,Natividad,79.99
235,798360973-6,Noe,49.99
236,249314186-5,Moishe,5.49
237,034496261-X,Coleman,49.99
238,322893739-9,Kellsie,3.49
239,766939708-X,Page,14.99
240,481650221-1,Gerome,5.49
241,444817627-4,Ulysses,14.99
242,676717324-X,Jermayne,89.99
243,035546613-9,Stevena,3.99
244,040335333-5,Jodie,3.79
245,261296606-4,Kare,29.99
246,190238609-4,Maiga,19.99
247,165950939-4,Adorne,2.99
248,026984040-0,Addison,3.99
249,473723869-4,Warden,49.99
250,211525820-7,Dasie,4.99
251,828528483-2,Alisun,34.99
252,417444285-1,Parnell,3.29
253,358866213-8,Regina,39.99
254,784033629-9,Nikolaus,34.99
255,459537564-6,Gusella,39.99
256,304090579-1,Web,3.79
257,135053054-9,Dannye,49.99
258,368362165-6,Cecilio,4.49
259,234466627-3,Vanni,39.99
260,667342403-6,Rois,34.99
261,424936467-4,Katha,5.29
262,521643056-3,Klarrisa,29.99
263,078675142-8,Felice,3.49
264,406176231-1,Nikoletta,3.5
265,559995018-2,Bettye,12.99
266,579897456-1,Florida,2.49
267,717245843-5,Junette,1.99
268,046898670-7,Jeni,4.99
269,226893410-1,Archer,44.99
270,265160973-0,Lotte,19.99
271,424662518-3,Binny,299.99
272,564974292-8,Antonia,5.99
273,588664055-X,Marie-ann,4.29
274,473083924-2,Torry,49.99
275,131183549-0,Virgie,1.29
276,127794832-1,Althea,19.99
277,553633568-5,Ody,29.99
278,764712622-9,Rosalinda,3.49
279,598213058-3,Roselle,2.49
280,427377409-7,Camella,1.49
281,138394426-1,Carrie,5.29
282,904680749-5,Ax,19.99
283,062162161-7,Ninnetta,1.29
284,788601913-X,Zebulon,8.99
285,153024551-6,Ron,19.99
286,706877668-X,Arne,4.99
287,786090134-X,Bridgette,29.99
288,244540404-5,Elwood,59.99
289,914998435-7,Amye,5.99
290,745918769-0,Theo,3.5
291,711284169-0,Catlin,29.99
292,713956179-6,Robinet,24.99
293,330891098-5,Hillie,5.79
294,760179709-0,Adan,2.49
295,765622615-X,Mano,25.99
296,251472873-8,Alison,3.79
297,257993780-3,Tobin,34.99
298,154345142-X,Traver,1.99
299,684325526-4,Horst,39.99
300,734788382-2,Maxy,6.49
301,156339878-8,Merralee,79.99
302,448472125-2,Patrizius,24.99
303,936423935-0,Auria,2.29
304,014659338-3,Silvio,89.99
305,649036715-7,Oriana,5.29
306,511848039-6,Fiorenze,5.99
307,884770434-0,Winni,34.99
308,704329281-6,Godwin,18.99
309,185859585-1,Sanderson,3.99
310,258137169-2,Casey,14.99
311,586152402-5,Coriss,2.99
312,428493611-5,Justine,3.99
313,415773813-6,Arlen,12.99
314,681809925-4,Damara,8.99
315,497200500-9,Marlena,2.99
316,489365123-4,Bowie,25.99
317,098615108-4,Emmalynne,29.99
318,472992144-5,Pansy,4.49
319,179535853-X,Jard,19.99
320,603360790-2,Caesar,4.99
321,376899876-2,Erica,2.99
322,318929000-8,Bo,1.99
323,196192487-0,Cary,4.99
324,026257059-9,Hart,129.99
325,818171781-3,Kendal,8.49
326,853931662-5,Garnet,29.99
327,258903733-3,Stanfield,19.99
328,281290803-3,Prudence,5.49
329,050835868-X,Astrix,15.99
330,464525707-2,Aldus,44.99
331,845475776-7,Imogen,3.99
332,774364792-7,Trenton,39.99
333,452940446-3,Flinn,59.99
334,211384891-0,Pamella,5.49
335,227151931-4,Kristopher,1.79
336,159896938-2,Genevra,3.99
337,188387708-3,Brier,3.99
338,329124419-2,Alane,5.99
339,301205934-2,Brander,89.99
340,576655744-2,Aidan,34.99
341,090141483-2,Sylvester,3.99
342,611250421-9,Barbara-anne,1.99
343,595029777-6,Buck,3.29
344,676672676-8,Arney,19.99
345,510262269-2,Milt,4.99
346,062695072-4,Wallis,34.99
347,809124391-X,Augusto,3.99
348,075763060-X,Muriel,4.99
349,110548607-9,Bogey,24.99
350,982401191-9,Juan,34.99
351,463401736-9,Whitman,2.99
352,240498773-9,Amie,9.99
353,357492617-0,Amalia,2.99
354,906503739-X,Aindrea,12.99
355,945159585-6,Hope,3.79
356,790260530-1,Rosa,39.99
357,090652717-1,Kimble,5.99
358,752637702-6,Gustave,3.99
359,324831489-3,Mattheus,6.49
360,627558051-8,Jemie,2.49
361,152661803-6,Filberto,5.49
362,410620231-X,Gunther,39.99
363,440374167-3,Steffie,2.79
364,123037958-4,Quentin,4.99
365,898916515-6,Tucker,7.49
366,484502896-4,Rozina,2.49
367,709888940-7,Petey,1.99
368,398819423-9,Tod,7.99
369,367790702-0,Morry,24.99
370,346158173-9,Loy,29.99
371,542602523-1,Alyda,2.49
372,054730114-6,Arlene,29.99
373,611399047-8,Frances,3.99
374,745797105-X,Darryl,69.99
375,395826697-5,Shayne,4.29
376,613514913-X,Hamil,14.99
377,314985035-5,Rodrick,2.29
378,525269355-2,Olly,79.99
379,725808866-0,Cleve,19.99
380,566386802-X,Adler,79.99
381,717289326-3,Hettie,3.79
382,453090766-X,Ronnie,5.99
383,736941296-2,Nellie,22.99
384,667728181-7,Darya,49.99
385,794787602-9,Chadd,18.99
386,593386548-6,Manda,3.29
387,405715089-7,Jewelle,39.99
388,834373364-9,Denver,45
389,516002438-7,Cinda,2.89
390,929516124-6,Doroteya,14.99
391,269617164-5,Colline,49.99
392,877077297-5,Lianna,24.99
393,442400735-9,Andi,4.29
394,911881617-7,Germayne,19.99
395,054482117-3,Rodolphe,99.99
396,755062577-8,Darby,2.49
397,500000562-7,Wallie,15.99
398,452349624-2,Cassi,3.49
399,566792941-4,Jerrome,34.99
400,254862648-2,Merrick,29.99
401,896413219-X,Paddy,39.99
402,548653615-1,Giraldo,2.99
403,175271828-3,Benedikta,3.49
404,978638997-2,Shelby,64.99
405,517454293-8,Coriss,29.99
406,897980965-4,Baudoin,4.29
407,810144337-1,Shaylah,14.99
408,409204641-3,Cathlene,19.99
409,436107752-5,Woody,5.99
410,140146296-0,Tanner,6.49
411,072771880-0,Abigail,22.99
412,131233065-1,Harper,24.99
413,659490670-4,Meta,4.49
414,945308645-2,Barrie,4.99
415,724815788-0,Hester,6.99
416,930833592-7,Katerine,19.99
417,684163407-1,Farrell,19.99
418,576696083-2,Louella,25
419,375677279-9,Lorry,2.49
420,025756422-5,Belle,69.99
421,436435924-6,Shell,4.79
422,371687651-8,Ilka,39.99
423,665146970-3,Bernete,4.49
424,744838264-0,Rudolf,4.49
425,180469433-9,Wolf,24.99
426,801816732-X,Jamie,24.99
427,794739873-9,Barnabe,12.99
428,085573460-4,Bel,29.99
429,763379106-3,Woody,6.49
430,079430661-6,Corey,5.49
431,871149898-6,Hilde,3.29
432,684871452-6,Bartholomew,4.99
433,230773855-X,Rube,2.49
434,348638696-4,Norrie,24.99
435,702820997-0,Vanni,39.99
436,235476003-5,Cinda,8.49
437,523275531-5,Oates,2.29
438,494971141-5,Valina,39.99
439,172599978-1,De witt,2.99
440,729642306-4,Selinda,39.99
441,285759368-6,Niels,1.49
442,376595258-3,Klemens,19.99
443,639349134-5,Rozalie,2.99
444,756621332-6,Joanie,24.99
445,587519784-6,Iormina,129.99
446,894006611-1,Isadora,24.99
447,687075414-4,Joscelin,59.99
448,338757352-9,Harriot,32.99
449,792378338-1,Culley,22.99
450,072658876-8,Minne,2.49
451,826960643-X,Eward,12.99
452,962234144-6,Hinda,4.99
453,282399019-4,Sydel,59.99
454,589577304-4,Jacklyn,79.99
455,594604672-1,Ofelia,3.99
456,312641985-2,Trumaine,1.79
457,237550821-1,Marten,34.99
458,095800502-8,Willy,29.99
459,002244535-8,Dorris,15.99
460,273062734-0,Tad,2.89
461,653755002-5,Johnathon,3.49
462,419699777-5,Rod,3.99
463,395699782-4,Maxie,29.99
464,749574026-4,Golda,3.49
465,417828295-6,Rosemonde,3.29
466,160989875-3,Thayne,19.99
467,332553622-0,Gustavo,39.99
468,988931383-9,Audra,299.99
469,644507570-3,Leonardo,14.99
470,868935014-4,Gardner,199.99
471,960514852-8,Innis,6.99
472,069661500-2,Clovis,5.49
473,543452466-7,Marni,3.99
474,267862978-3,Elvyn,2.49
475,327516230-6,Aldrich,19.99
476,862454548-X,Harris,34.99
477,628854021-8,Kaela,29.99
478,108639802-5,Mark,2.99
479,720191891-5,Elysia,39.99
480,096818699-8,Byrann,89.99
481,559910179-7,Jaye,2.49
482,659397421-8,Gorden,7.99
483,765980229-1,Alexina,4.99
484,345535858-6,Hetti,19.99
485,628805653-7,Antonius,12.99
486,431289792-1,Cate,7.99
487,328070386-7,Cecile,2.19
488,185162994-7,Pattie,64.99
489,254872918-4,Sutton,34.99
490,488994248-3,Darci,44.99
491,581101991-2,Hercule,3.29
492,647499612-9,Elka,59.99
493,921002688-8,Boony,99.99
494,782715998-2,Lucila,22.99
495,169639820-7,Gabby,2.79
496,650870798-1,Faulkner,19.99
497,800456703-7,Calli,5.49
498,997704354-X,Bari,54.99
499,082634381-3,Robena,6.49
500,377031172-8,Rees,199.99
501,445971984-3,Yoko,59.99
502,973711828-6,Mordecai,89.99
503,340358676-6,Frannie,25.99
504,168672422-5,Delainey,39.99
505,732174239-3,Malanie,5.49
506,525922607-0,Ardith,19.99
507,513229606-8,Bertie,3.99
508,641272015-4,Justinn,2.99
509,426409759-2,Em,29.99
510,796782146-7,Tedd,109.99
511,109361334-3,Townie,89.99
512,068542047-7,Chane,0.99
513,973871127-4,Cornelius,129.99
514,503070809-X,Marlena,1.49
515,152092759-2,Cathee,299.99
516,973968317-7,Teddy,19.99
517,012270560-2,Clem,3.79
518,204871273-8,Mikey,4.99
519,473120132-2,Demeter,6.49
520,285652646-2,Valeda,8.99
521,284529729-7,Valina,4.49
522,073354435-5,Cecilius,9.99
523,354701033-0,Christos,49.99
524,137351643-7,Darren,2.29
525,939792468-0,Cass,24.99
526,851614331-7,Merrilee,22.99
527,538927592-6,Alis,22.99
528,554536085-9,Kelsy,8.99
529,522835148-5,Loise,4.99
530,331287930-2,Natty,4.99
531,942973870-4,Hussein,19.99
532,139108181-1,Gabriellia,9.49
533,460767132-0,Cleavland,29.99
534,148176997-9,Nicolette,2.29
535,646486890-X,Timmie,39.99
536,148337500-5,Maris,39.99
537,215829446-9,Liane,49.99
538,042521610-1,Tamas,19.99
539,762339007-4,Daveta,22.99
540,303022606-9,Phillipp,5.99
541,008829769-1,Cordy,14.99
542,810863722-8,Montague,79.99
543,472313400-X,Caro,19.99
544,010316820-6,Riordan,39.99
545,966125834-1,Robinet,3.99
546,982937677-X,Cahra,39.99
547,002953601-4,Sheppard,89.99
548,386406172-5,Amalita,14.99
549,245000971-X,Marline,2.29
550,267996133-1,Aurea,3.49
551,767134114-2,Orland,1.49
552,886694037-2,Abbi,3.79
553,365948471-7,Silvester,1.89
554,148994135-5,Kalie,2.29
555,142792636-0,Gherardo,3.19
556,849070464-3,Ellen,5.99
557,127345000-0,Thornie,4.99
558,826290391-9,Pauline,1.79
559,516314819-2,Joli,29.99
560,605250803-5,Whitby,199.99
561,851804028-0,Alyson,29.99
562,566018387-5,Gaven,34.99
563,324304046-9,Torry,16.99
564,151402566-3,Ethelred,39.99
565,587878546-3,Sal,4.89
566,178107940-4,Winifield,4.09
567,171970169-5,Roderic,39.99
568,779958011-9,Charlotta,29.99
569,505796665-0,Onida,19.99
570,221003384-5,Arnoldo,22.99
571,238640531-1,Vittorio,4.29
572,996455388-9,Addi,10.99
573,990442319-9,Bram,1.99
574,012198735-3,Joscelin,9.99
575,043522169-8,Cathlene,89.99
576,228695685-5,Kain,8.99
577,029137813-7,Solly,3.79
578,299290261-6,Perla,19.99
579,390304227-7,Jorie,22.99
580,588750275-4,Farley,3.19
581,260911795-7,Beniamino,3.59
582,450020428-8,Tamarra,49.99
583,204568949-2,Ediva,49.99
584,185563240-3,Hyacintha,1.99
585,179178525-5,Grady,5.49
586,885475371-8,Morry,10.99
587,090604001-9,Dena,69.99
588,517889172-4,Davita,19.99
589,211883059-9,Sandy,139.99
590,427889262-4,Fidelity,59.99
591,834993742-4,Jenine,3.59
592,547634598-1,Cornie,29.99
593,094828798-5,Geri,7.99
594,829504873-2,Brietta,79.99
595,613280902-3,Ella,24.99
596,569049241-8,Ros,15.99
597,931880699-X,Jayson,3.29
598,277031758-X,Glynda,99.99
599,051892384-3,Mortimer,39.99
600,184050239-8,Aleta,2.89
601,253848350-6,Barnebas,99.99
602,397652028-4,Dody,49.99
603,095475903-6,Simona,3.99
604,076619092-7,Lena,15.99
605,825829223-4,Tobe,79.99
606,695629746-9,Elane,1.99
607,970140561-7,Amitie,1.89
608,671328955-X,Beverley,19.99
609,969249082-3,Maighdiln,3.29
610,141141855-7,Celie,2.49
611,315145595-6,Hamish,1.29
612,574287541-X,Wiley,29.99
613,311095567-9,Harlen,299.99
614,414351635-7,Antonetta,2.89
615,060773520-1,Alisa,29.99
616,623236209-8,Wynn,3.29
617,867591802-X,Aubrey,4.19
618,986422028-4,Gerome,25.99
619,002578688-1,Sheelah,4.99
620,338735012-0,Renae,34.99
621,590522290-8,Harley,29.99
622,342376656-5,Anjanette,3.79
623,637037074-6,Thornton,49.99
624,947516416-2,Merrie,39.99
625,095968967-2,Gibby,7.19
626,312842120-X,Daune,9.99
627,877517992-X,Rayner,3.49
628,647032308-1,Stoddard,19.99
629,412451406-9,Dosi,199.99
630,629170046-8,Kenna,34.99
631,842649873-6,Kaitlin,4.49
632,827477759-X,Falito,22.99
633,674319016-0,Aldrich,99.99
634,527867936-0,Mathe,5.49
635,052316716-4,Eldin,34.99
636,296964257-3,Estrellita,39.99
637,526801505-2,Timotheus,2.49
638,233637111-1,Artie,4.99
639,657315833-4,Tybi,29.99
640,916335201-X,Shandee,29.99
641,188207212-X,Caz,4.29
642,238966669-8,Moyra,39.99
643,702173101-9,Dionne,14.99
644,518416548-7,Steve,39.99
645,213896889-8,Case,3.59
646,451648366-1,Ardyth,1.99
647,183272249-X,Rogerio,3.79
648,972149355-4,Ric,4.99
649,246872930-7,Reube,3.99
650,330883806-0,Goddart,22.99
651,889267446-3,Bari,1.99
652,641967491-3,Devan,5.99
653,273297585-0,Boyd,1.99
654,399355229-6,Neville,4.49
655,554077106-0,Tallie,49.99
656,916034720-1,Mathian,5.49
657,441048260-2,Waverley,4.29
658,124711267-5,Lanette,39.99
659,588101056-6,Kaspar,12.99
660,089854231-6,Caitlin,24.99
661,646775225-2,Kelbee,2.99
662,875827101-5,Amerigo,3.49
663,972916299-9,Domingo,5.49
664,023251914-5,Dorian,3.49
665,329769154-9,Ferrell,8.99
666,940759519-6,Dacey,12.99
667,919507371-X,Kele,39.99
668,167535800-1,Emile,14.99
669,925819581-7,Kellia,3.29
670,242558888-4,Tania,4.99
671,993999111-8,Correna,3.29
672,011706537-4,Hulda,3.99
673,024201277-9,Maryrose,1.89
674,054549299-8,Gerrie,399.99
675,691290587-0,Grove,129.99
676,370434770-1,Isacco,3.49
677,932790889-9,Cam,2.59
678,833120868-4,Corette,3.99
679,862529988-1,Hart,3.49
680,986437239-4,Polly,299.99
681,348147635-3,Eugenius,3.49
682,695165034-9,Betteann,3.99
683,279307052-1,Rafaellle,39.99
684,227577050-X,Tamqrah,3.59
685,611791983-2,Valdemar,34.99
686,226380612-1,Janela,5.99
687,352562191-4,Ives,2.79
688,843840806-0,Holmes,3.99
689,422519957-6,Dawna,39.99
690,074594523-6,Brose,39.99
691,392057194-0,Travis,5.99
692,055305422-8,Brent,2.79
693,156064286-6,Mauricio,49.99
694,921835351-9,Corenda,4.99
695,949308760-3,Leon,2.49
696,552980193-5,Lane,3.49
697,483988442-0,Sharleen,4.19
698,508985811-X,Chip,34.99
699,044453194-7,Datha,3.99
700,650210538-6,Denyse,2.99
701,588312894-7,Redford,29.99
702,942801411-7,Orlan,19.99
703,593274643-2,Jake,79.99
704,769894184-1,Innis,3.99
705,855875366-0,Janean,79.99
706,062165253-9,Denny,29.99
707,904785186-2,Buddy,14.99
708,133724452-X,Jacob,29.99
709,245701068-3,Xylina,3.29
710,479099514-3,Laurel,15.99
711,022388310-7,Sabrina,12.99
712,762894054-4,Matthieu,3.49
713,876044031-7,Silvester,1.99
714,377314821-6,Nicola,8.49
715,183077373-9,Donal,3.99
716,802241372-0,Bernadina,5.49
717,885586849-7,Rafe,22
718,657654079-5,Lemuel,4.99
719,172236140-9,Deidre,3.49
720,877895123-2,Abbie,5.99
721,946510290-3,Gran,4.59
722,378510820-6,Consuela,3.99
723,425371120-0,Zoe,79.99
724,326599247-0,Gloriana,5.99
725,793118753-9,Simona,39.99
726,027565285-8,Pip,59.99
727,731881714-0,Binky,89.99
728,317854261-2,Hyacinthia,199.99
729,955814543-2,Stesha,5.49
730,451224685-1,Hilliard,5.49
731,043777171-7,Janifer,6.99
732,187894380-4,Marius,89.99
733,481107957-4,Arlina,19.99
734,656570355-8,Daniele,5.49
735,356614941-1,Emilie,24.99
736,176090066-4,Moira,1.99
737,277387702-0,Vin,4.99
738,331696988-8,Daven,22.99
739,602789068-1,Aymer,2.99
740,678576926-4,Elvin,19.99
741,337622447-1,Maxy,3.29
742,090450809-9,Dian,34.99
743,554779705-7,Redford,45.99
744,371298099-X,Lukas,19.99
745,109199206-1,Loise,3.49
746,787188092-6,Burch,39.99
747,795726651-7,Filia,1.89
748,999404087-1,Ave,34.99
749,604764508-9,Gino,5.79
750,995978201-8,Prentice,18.99
751,546906382-8,Boote,3.99
752,759594226-8,Micah,4.49
753,387232982-0,Sterling,39.99
754,110874962-3,Julie,19.99
755,944798941-1,Beaufort,10.99
756,593789497-9,Harcourt,15.99
757,019201088-3,Philomena,24.99
758,874935849-9,Rozella,5.49
759,371557696-0,Shelli,3.49
760,577046090-3,Celesta,2.69
761,689698876-2,Therine,49.99
762,036120676-3,Kimbra,22.99
763,641487247-4,Helen-elizabeth,19.99
764,104481379-2,Sarajane,29.99
765,889393027-7,Nesta,12.99
766,218756016-3,Stephani,6.99
767,599709178-3,Godiva,9.99
768,678402906-2,Verla,39.99
769,440368670-2,Alysa,4.49
770,546190654-0,John,2.29
771,034244153-1,Michaella,49.99
772,350384528-3,Lilas,5.99
773,751191469-1,Dex,22.99
774,942587647-9,Clarence,199.99
775,697720254-8,Jacob,29.99
776,052922132-2,Porty,3.49
777,740361259-0,Reuben,19.99
778,325357301-X,Land,34.99
779,888072915-2,Jefferey,3.49
780,949447058-3,Alyss,29.99
781,106569289-7,Farrah,5.99
782,239249453-3,Anetta,19.99
783,109726264-2,Gregoire,49.99
784,591488194-3,Carmella,2.99
785,574649427-5,Craig,4.49
786,678296102-4,Paulie,4.29
787,429199328-5,Jobyna,99.99
788,951045942-9,Claudie,49.99
789,710571119-1,Corabel,3.99
790,584064823-X,Pepito,5.99
791,190405282-7,Cordula,2.49
792,097380910-8,Ashien,1.29
793,321240912-6,Lorrayne,2.99
794,970459667-7,Wilhelmina,5.49
795,595700854-0,Waneta,24.99
796,210142558-0,Corabelle,2.49
797,527156052-X,Electra,15.99
798,246413853-3,Jarvis,35
799,600604823-X,Felicio,39.99
800,941915046-1,Janis,4.49
801,246300536-X,Justinian,12.99
802,904659124-7,Alanna,149.99
803,146812891-4,Wilhelmine,1.99
804,204781861-3,Ibbie,79.99
805,737976674-0,Valerye,59.99
806,993414971-0,Conant,3.89
807,535102114-5,Amalle,3.29
808,091768184-3,Selene,4.99
809,919736956-X,Ardra,24.99
810,702743394-X,Trixie,2.49
811,536783906-1,Carole,22.99
812,251850899-6,Lennie,29.99
813,140466632-X,Carol,2.49
814,239521959-2,Abbot,9.99
815,752203984-3,Pepi,7.19
816,370879706-X,Marcus,19.99
817,583504016-4,Raleigh,5.99
818,861634462-4,Shirlene,3.29
819,360382156-4,Leonardo,6.49
820,847891312-2,Jorie,3.99
821,947821085-8,Gayle,199
822,292925796-2,Baldwin,3.99
823,174012496-0,Gertie,149.99
824,405173461-7,Daria,24.99
825,753387531-1,Wallie,1.99
826,498387758-4,Nancee,2.99
827,167711113-5,Sadye,8.49
